,team,runs,BB,1B,2B,3B,HR,ParkID
4318,"""CHN""",6,2,8,2,0,0,"""LOS03"""
4319,"""LAN""",3,1,5,0,0,3,"""LOS03"""
4320,"""TBA""",4,4,10,2,1,0,"""PHI13"""
4321,"""PHI""",9,3,4,6,0,3,"""PHI13"""
4322,"""MIA""",4,4,7,2,0,0,"""PIT08"""
4323,"""PIT""",6,4,5,2,0,1,"""PIT08"""
4324,"""MIL""",3,2,6,2,0,1,"""SFO03"""
4325,"""SFN""",2,3,2,1,0,1,"""SFO03"""
4326,"""CIN""",3,6,6,1,0,0,"""STL10"""
4327,"""SLN""",0,2,7,1,0,0,"""STL10"""
4328,"""ATL""",12,4,8,3,0,4,"""WAS11"""
4329,"""WAS""",0,3,0,3,0,0,"""WAS11"""
4330,"""BAL""",5,4,8,0,0,2,"""BOS07"""
4331,"""BOS""",3,3,3,4,0,0,"""BOS07"""
4332,"""CLE""",5,2,7,3,0,1,"""CHI12"""
4333,"""CHA""",0,3,4,1,0,0,"""CHI12"""
4334,"""COL""",0,0,3,0,0,0,"""DET05"""
4335,"""DET""",11,7,7,1,1,1,"""DET05"""
4336,"""OAK""",4,2,6,2,0,1,"""HOU03"""
4337,"""HOU""",3,3,7,2,1,0,"""HOU03"""
4338,"""ANA""",5,2,8,1,0,1,"""MIN04"""
4339,"""MIN""",10,4,6,1,0,3,"""MIN04"""
4340,"""KCA""",5,2,10,0,0,1,"""NYC21"""
4341,"""NYA""",0,0,3,0,0,0,"""NYC21"""
4342,"""SDN""",7,4,8,1,0,2,"""SEA03"""
4343,"""SEA""",3,4,7,1,0,2,"""SEA03"""
4344,"""NYN""",2,2,5,1,0,0,"""TOR02"""
4345,"""TOR""",6,4,7,3,2,0,"""TOR02"""
4346,"""TEX""",4,5,7,1,0,1,"""PHO01"""
4347,"""ARI""",14,1,3,7,1,5,"""PHO01"""
4348,"""CHN""",8,10,3,1,0,2,"""LOS03"""
4349,"""LAN""",10,6,6,1,0,5,"""LOS03"""
4350,"""TBA""",2,3,2,1,1,1,"""PHI13"""
4351,"""PHI""",3,2,4,0,0,1,"""PHI13"""
4352,"""MIA""",1,3,5,1,0,0,"""PIT08"""
4353,"""PIT""",3,1,3,2,0,1,"""PIT08"""
4354,"""MIL""",2,5,3,4,0,0,"""SFO03"""
4355,"""SFN""",13,3,7,7,0,3,"""SFO03"""
4356,"""CIN""",1,1,4,1,0,0,"""STL10"""
4357,"""SLN""",2,3,4,1,0,1,"""STL10"""
4358,"""ATL""",1,1,3,3,0,0,"""WAS11"""
4359,"""WAS""",5,0,10,2,0,1,"""WAS11"""
4360,"""BAL""",3,1,4,1,1,2,"""BOS07"""
4361,"""BOS""",5,3,6,1,0,1,"""BOS07"""
4362,"""CLE""",6,4,9,0,0,1,"""CHI12"""
4363,"""CHA""",4,3,7,1,0,0,"""CHI12"""
4364,"""COL""",4,1,5,1,0,1,"""DET05"""
4365,"""DET""",7,1,9,2,1,2,"""DET05"""
4366,"""OAK""",5,2,8,1,0,1,"""HOU03"""
4367,"""HOU""",4,1,8,1,0,0,"""HOU03"""
4368,"""ANA""",4,5,7,0,0,3,"""MIN04"""
4369,"""MIN""",6,2,6,4,0,1,"""MIN04"""
4370,"""KCA""",3,4,6,1,0,1,"""NYC21"""
4371,"""NYA""",4,5,5,0,0,1,"""NYC21"""
4372,"""SDN""",2,1,2,1,0,1,"""SEA03"""
4373,"""SEA""",5,4,2,3,0,0,"""SEA03"""
4374,"""NYN""",6,5,1,1,0,2,"""TOR02"""
4375,"""TOR""",2,5,6,0,0,0,"""TOR02"""
4376,"""MIL""",3,2,3,0,0,1,"""SFO03"""
4377,"""SFN""",0,2,3,2,0,0,"""SFO03"""
4378,"""CIN""",1,3,4,0,0,0,"""STL10"""
4379,"""SLN""",6,3,6,2,0,2,"""STL10"""
4380,"""MIA""",6,1,7,1,0,0,"""WAS11"""
4381,"""WAS""",3,2,3,3,0,0,"""WAS11"""
4382,"""TBA""",5,4,6,3,0,1,"""CLE08"""
4383,"""CLE""",2,4,4,1,0,0,"""CLE08"""
4384,"""COL""",4,0,6,2,0,1,"""DET05"""
4385,"""DET""",2,4,3,1,0,0,"""DET05"""
4386,"""OAK""",3,2,2,3,0,2,"""HOU03"""
4387,"""HOU""",6,1,6,5,0,1,"""HOU03"""
4388,"""BOS""",1,4,1,2,0,1,"""NYC21"""
4389,"""NYA""",2,5,6,0,0,1,"""NYC21"""
4390,"""TEX""",5,1,5,1,0,3,"""SEA03"""
4391,"""SEA""",4,5,5,0,0,1,"""SEA03"""
4392,"""MIL""",2,6,3,2,0,1,"""PHO01"""
4393,"""ARI""",1,5,4,2,0,0,"""PHO01"""
4394,"""LAN""",2,1,3,1,0,1,"""ATL03"""
4395,"""ATL""",6,4,6,2,0,2,"""ATL03"""
4396,"""CHN""",5,2,11,1,0,1,"""DEN02"""
4397,"""COL""",9,4,8,1,0,3,"""DEN02"""
4398,"""NYN""",11,3,8,2,0,4,"""PHI13"""
4399,"""PHI""",3,3,2,1,0,1,"""PHI13"""
4400,"""KCA""",8,3,4,1,0,3,"""PIT08"""
4401,"""PIT""",3,3,6,3,0,0,"""PIT08"""
4402,"""SDN""",5,1,7,4,0,1,"""SFO03"""
4403,"""SFN""",0,2,3,1,0,0,"""SFO03"""
4404,"""MIA""",1,1,7,0,0,1,"""WAS11"""
4405,"""WAS""",4,1,3,0,0,1,"""WAS11"""
4406,"""HOU""",5,6,10,2,0,2,"""ANA01"""
4407,"""ANA""",3,2,2,0,0,1,"""ANA01"""
4408,"""OAK""",2,1,7,2,0,0,"""CHI12"""
4409,"""CHA""",0,1,6,0,0,0,"""CHI12"""
4410,"""TBA""",3,0,4,1,1,2,"""CLE08"""
4411,"""CLE""",1,1,0,3,1,0,"""CLE08"""
4412,"""BAL""",0,1,0,0,1,0,"""DET05"""
4413,"""DET""",1,2,4,0,1,1,"""DET05"""
4414,"""CIN""",8,3,3,3,1,2,"""MIN04"""
4415,"""MIN""",4,2,4,0,0,1,"""MIN04"""
4416,"""BOS""",4,1,6,1,0,2,"""NYC21"""
4417,"""NYA""",5,6,5,1,0,1,"""NYC21"""
4418,"""TEX""",4,3,6,0,0,1,"""SEA03"""
4419,"""SEA""",5,2,7,2,0,1,"""SEA03"""
4420,"""SLN""",3,2,9,2,0,1,"""TOR02"""
4421,"""TOR""",4,3,9,1,0,0,"""TOR02"""
4422,"""MIL""",15,7,8,4,0,4,"""PHO01"""
4423,"""ARI""",8,0,11,2,0,1,"""PHO01"""
4424,"""LAN""",1,3,4,3,0,0,"""ATL03"""
4425,"""ATL""",10,6,3,7,0,0,"""ATL03"""
4426,"""CHN""",5,1,8,1,0,2,"""DEN02"""
4427,"""COL""",6,3,4,2,0,2,"""DEN02"""
4428,"""NYN""",4,3,8,1,1,0,"""PHI13"""
4429,"""PHI""",6,2,4,2,0,2,"""PHI13"""
4430,"""KCA""",5,4,1,4,1,1,"""PIT08"""
4431,"""PIT""",1,5,8,1,0,0,"""PIT08"""
4432,"""SDN""",8,4,9,7,0,1,"""SFO03"""
4433,"""SFN""",0,0,5,0,0,0,"""SFO03"""
4434,"""MIA""",1,1,4,2,0,0,"""WAS11"""
4435,"""WAS""",4,1,4,1,0,3,"""WAS11"""
4436,"""HOU""",5,4,7,1,0,2,"""ANA01"""
4437,"""ANA""",3,4,5,1,0,0,"""ANA01"""
4438,"""OAK""",6,6,9,2,0,0,"""CHI12"""
4439,"""CHA""",7,1,14,0,0,2,"""CHI12"""
4440,"""TBA""",1,2,3,3,0,0,"""CLE08"""
4441,"""CLE""",6,2,4,2,0,2,"""CLE08"""
4442,"""BAL""",4,4,5,2,0,1,"""DET05"""
4443,"""DET""",2,1,6,0,0,1,"""DET05"""
4444,"""CIN""",11,5,10,3,0,2,"""MIN04"""
4445,"""MIN""",1,0,2,3,0,0,"""MIN04"""
4446,"""BOS""",7,4,8,1,0,0,"""NYC21"""
4447,"""NYA""",1,5,4,1,0,0,"""NYC21"""
4448,"""TEX""",4,1,4,1,0,2,"""SEA03"""
4449,"""SEA""",5,6,5,3,0,2,"""SEA03"""
4450,"""SLN""",2,2,1,1,0,1,"""TOR02"""
4451,"""TOR""",7,4,7,1,1,1,"""TOR02"""
4452,"""MIL""",10,6,9,1,1,2,"""PHO01"""
4453,"""ARI""",11,7,11,3,0,0,"""PHO01"""
4454,"""LAN""",9,5,4,3,1,3,"""ATL03"""
4455,"""ATL""",2,6,3,1,0,0,"""ATL03"""
4456,"""CHN""",6,12,7,1,0,3,"""DEN02"""
4457,"""COL""",2,6,3,0,0,1,"""DEN02"""
4458,"""NYN""",1,1,6,0,0,1,"""PHI13"""
4459,"""PHI""",2,1,3,3,0,0,"""PHI13"""
4460,"""KCA""",3,5,4,3,1,0,"""PIT08"""
4461,"""PIT""",4,6,6,1,0,0,"""PIT08"""
4462,"""SDN""",4,3,4,1,0,1,"""SFO03"""
4463,"""SFN""",3,2,1,1,0,2,"""SFO03"""
4464,"""MIA""",3,2,5,0,0,1,"""WAS11"""
4465,"""WAS""",4,4,5,1,0,2,"""WAS11"""
4466,"""HOU""",6,4,6,1,0,1,"""ANA01"""
4467,"""ANA""",4,3,5,2,0,1,"""ANA01"""
4468,"""OAK""",3,2,1,4,0,2,"""CHI12"""
4469,"""CHA""",4,2,4,2,0,2,"""CHI12"""
4470,"""TBA""",0,1,4,0,0,0,"""CLE08"""
4471,"""CLE""",2,3,5,2,0,0,"""CLE08"""
4472,"""BAL""",2,3,3,3,0,1,"""DET05"""
4473,"""DET""",4,3,2,1,0,2,"""DET05"""
4474,"""CIN""",2,4,6,0,1,0,"""MIN04"""
4475,"""MIN""",9,2,7,3,1,1,"""MIN04"""
4476,"""BOS""",2,3,5,2,0,1,"""NYC21"""
4477,"""NYA""",5,4,6,1,0,2,"""NYC21"""
4478,"""TEX""",0,0,1,0,0,0,"""SEA03"""
4479,"""SEA""",7,1,11,1,0,2,"""SEA03"""
4480,"""SLN""",2,3,5,1,0,1,"""TOR02"""
4481,"""TOR""",3,2,3,2,0,1,"""TOR02"""
4482,"""LAN""",9,7,2,1,0,1,"""ATL03"""
4483,"""ATL""",0,4,1,2,1,0,"""ATL03"""
4484,"""OAK""",2,4,7,0,1,1,"""CHI11"""
4485,"""CHN""",9,1,14,1,2,1,"""CHI11"""
4486,"""ARI""",2,3,6,0,1,1,"""DEN02"""
4487,"""COL""",3,3,2,0,0,2,"""DEN02"""
4488,"""PHI""",2,1,8,2,0,1,"""MIL06"""
4489,"""MIL""",6,5,5,2,1,0,"""MIL06"""
4490,"""WAS""",1,1,4,1,0,0,"""NYC20"""
4491,"""NYN""",2,3,5,1,0,0,"""NYC20"""
4492,"""HOU""",1,2,5,1,0,0,"""SAN02"""
4493,"""SDN""",3,2,8,3,0,2,"""SAN02"""
4494,"""PIT""",0,1,3,1,0,0,"""STL10"""
4495,"""SLN""",4,4,6,1,0,0,"""STL10"""
4496,"""CHA""",8,5,4,0,1,4,"""ANA01"""
4497,"""ANA""",4,2,3,0,0,2,"""ANA01"""
4498,"""MIN""",3,5,6,2,0,0,"""CLE08"""
4499,"""CLE""",4,3,7,2,0,1,"""CLE08"""
4500,"""DET""",7,3,10,2,1,1,"""KAN06"""
4501,"""KCA""",6,2,8,0,2,1,"""KAN06"""
4502,"""OAK""",4,2,5,1,0,3,"""CHI11"""
4503,"""CHN""",3,2,9,0,0,2,"""CHI11"""
4504,"""ATL""",5,6,8,1,0,3,"""CIN09"""
4505,"""CIN""",6,3,6,3,0,1,"""CIN09"""
4506,"""ARI""",2,4,3,2,0,1,"""DEN02"""
4507,"""COL""",8,5,6,4,0,2,"""DEN02"""
4508,"""LAN""",9,3,7,2,1,2,"""MIA02"""
4509,"""MIA""",11,4,7,5,1,2,"""MIA02"""
4510,"""PHI""",5,3,7,1,0,2,"""MIL06"""
4511,"""MIL""",1,0,4,0,1,0,"""MIL06"""
4512,"""WAS""",1,3,3,1,0,0,"""NYC20"""
4513,"""NYN""",10,3,8,3,0,3,"""NYC20"""
4514,"""HOU""",4,3,6,3,0,0,"""SAN02"""
4515,"""SDN""",3,3,4,1,0,1,"""SAN02"""
4516,"""PIT""",1,2,5,2,0,1,"""STL10"""
4517,"""SLN""",3,3,0,2,1,1,"""STL10"""
4518,"""CHA""",0,2,6,0,0,0,"""ANA01"""
4519,"""ANA""",5,4,8,1,0,1,"""ANA01"""
4520,"""SFN""",10,5,8,1,0,1,"""BAL12"""
4521,"""BAL""",0,2,3,2,0,0,"""BAL12"""
4522,"""MIN""",4,4,6,1,0,1,"""CLE08"""
4523,"""CLE""",1,2,6,1,0,1,"""CLE08"""
4524,"""DET""",3,5,4,3,0,0,"""KAN06"""
4525,"""KCA""",1,6,7,0,0,0,"""KAN06"""
4526,"""NYA""",11,4,6,4,0,2,"""SEA03"""
4527,"""SEA""",2,4,5,2,0,2,"""SEA03"""
4528,"""BOS""",3,1,1,0,0,2,"""STP01"""
4529,"""TBA""",8,2,5,3,0,4,"""STP01"""
4530,"""TOR""",8,5,9,2,1,1,"""ARL03"""
4531,"""TEX""",13,9,8,3,0,2,"""ARL03"""
